,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
4015,B5a: Line for war_terrorism is incorrect. 98,B5a: Line for war_terrorism is incorrect.,Sensemaking 1,98,513,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,6
4018,A2 Q2d Inverse is also true that people migrating to NSW were from QLD 96,A2 Q2d Inverse is also true that people migrating to NSW were from QLD,Sensemaking 1,96,514,Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,14
4029,"B4a: Have the tiotle of the plot."" 66","B4a: Have the tiotle of the plot."" ",Impact 1,66,515,Agency2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Impact1 Sensemaking1 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1 Sensemaking2,4,Agency Sensemaking Impact,3,7
4032,"So far you are putting a bit too much emphasis on the background"" 90","So far you are putting a bit too much emphasis on the background"" ",Sensemaking 1,90,516,Sensemaking2 Impact1 Sensemaking1,Sensemaking2 Impact1 Sensemaking1,3,Sensemaking Impact,2,13
4045,"11. For Q5. e Please provide the number besides just group"" 66","11. For Q5. e Please provide the number besides just group"" ",Impact 1,66,517,Sensemaking2 Impact1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1,Sensemaking2 Impact1 Sensemaking1,3,Sensemaking Impact,2,11
4049,"For A9, This question is not asking to find unique record, so you can list out a few more entries that applies to your conditions in this case"" 93","For A9, This question is not asking to find unique record, so you can list out a few more entries that applies to your conditions in this case"" ",Sensemaking 1&Impact 1,93,518,Agency2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,28
4055,"For B.5.a The graph you ploated is not that correct. So try with this code instead.### Search termsABC_NEWS$Crime % mutate(year = year(publish_date)) %>%select(year, Crime, Natural_Disaster, Health, Sports, War_Terrorism) %>%drop_na() %>% gather(Topic, Value, -year) %>%group_by(year, Topic) %>% summarise(total_value = sum(Value)) %>%ggplot(aes(x=year, y=total_value, colour=Topic)) + geom_line() +labs(title = """"Total no. of terms for each topic across year"""")"" 82","For B.5.a The graph you ploated is not that correct. So try with this code instead.### Search termsABC_NEWS$Crime % mutate(year = year(publish_date)) %>%select(year, Crime, Natural_Disaster, Health, Sports, War_Terrorism) %>%drop_na() %>% gather(Topic, Value, -year) %>%group_by(year, Topic) %>% summarise(total_value = sum(Value)) %>%ggplot(aes(x=year, y=total_value, colour=Topic)) + geom_line() +labs(title = """"Total no. of terms for each topic across year"""")"" ",Sensemaking 1&Impact 1,82,519,Agency2 Impact1 Sensemaking1 Agency1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1,Agency2 Impact1 Sensemaking1 Agency1,4,Agency Impact Sensemaking,3,55
4059,"B5d: could have better explanation."" 93","B5d: could have better explanation."" ",Sensemaking 1,93,520,Agency2 Impact1 Sensemaking1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,5
4067,"Q5a: Title is missing"" 91","Q5a: Title is missing"" ",Sensemaking 1,91,521,Agency2 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,4
4068,The business model is not clearly related to data science and does not state the stake holders. 70,The business model is not clearly related to data science and does not state the stake holders.,Sensemaking 1,70,522,Sensemaking1,Sensemaking1,1,Sensemaking,1,17
4070,Q2 : Bin size 93,Q2 : Bin size,Sensemaking 1,93,523,Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,4
4071,"""Not a novel project, the description needs more focus on the data to be used and the business model can be improved by plotting the flow of data and processes"" 60","""Not a novel project, the description needs more focus on the data to be used and the business model can be improved by plotting the flow of data and processes"" ",Sensemaking 1&Impact 1,60,524,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,30
4074,B2b: Which month has the highest number of headlines? 97,B2b: Which month has the highest number of headlines?,Sensemaking 1,97,525,Agency2 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,9
4077,""" Could be better if you justified your text Need to add captions for your figures."" 75",""" Could be better if you justified your text Need to add captions for your figures."" ",Sensemaking 1,75,526,Agency2 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,16
4078,No submission 100,No submission,Sensemaking 2,100,527,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
4082,"B4.a You are supposed to have one bar chart inside the diagram"" 95","B4.a You are supposed to have one bar chart inside the diagram"" ",Sensemaking 1,95,528,Agency2 Impact1 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,12
4089,"B 5e: Missing answer."" 89","B 5e: Missing answer."" ",Sensemaking 2,89,529,Agency2 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking2,Agency2 Sensemaking1 Impact1 Sensemaking2,4,Agency Sensemaking Impact,3,4
4107,"Q5d:Have the title. "" 71","Q5d:Have the title. "" ",Sensemaking 1,71,530,Agency2 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,4
4110,"The question didn't ask for year/State./B5.d is should be a bar chart not a scatter plot/"" 90","The question didn't ask for year/State./B5.d is should be a bar chart not a scatter plot/"" ",Sensemaking 1,90,531,Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,16
4116,B.5.a : The code is too long and not explaines while no legend is shown on the graph to support your conclusions 82,B.5.a : The code is too long and not explaines while no legend is shown on the graph to support your conclusions,Sensemaking 1,82,532,Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Impact1 Sensemaking1,2,Impact Sensemaking,2,22
4127,Q5b : Your code should extract the answer from the data instead of manually examining the graph 81,Q5b : Your code should extract the answer from the data instead of manually examining the graph,Impact 1,81,533,Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,17
4129,There are no problems at all 100,There are no problems at all,Sensemaking 2,100,534,Agency2 Sensemaking2,Agency2 Sensemaking2,2,Agency Sensemaking,2,6
4130,"""No novelty and the actual goal is not clear, do you want to discuss the system or an algorithm?"" 70","""No novelty and the actual goal is not clear, do you want to discuss the system or an algorithm?"" ",Sensemaking 1,70,535,Sensemaking1,Sensemaking1,1,Sensemaking,1,19
4136,"B3. sd should be reported as well/ There's no reference in your codes, you didn't lose any mark in this assignemtn but make sure to add the URLs of the websites you get your codes so that you won't be marked for plagiarism at Monash."" 93","B3. sd should be reported as well/ There's no reference in your codes, you didn't lose any mark in this assignemtn but make sure to add the URLs of the websites you get your codes so that you won't be marked for plagiarism at Monash."" ",Impact 1,93,536,Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,45
4137,Excellent! 100,Excellent!,Agency 2,100,537,Agency2,Agency2,1,Agency,1,1
4140,Having a graph that states the stages of your business model and the benefits to the stakeholders will improve the report. 50,Having a graph that states the stages of your business model and the benefits to the stakeholders will improve the report.,Sensemaking 1,50,538,Agency2 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,21
4145,"B3: You could add descriptive statistics (mean, std, quartile1, median, and max) in your code."" 86","B3: You could add descriptive statistics (mean, std, quartile1, median, and max) in your code."" ",Impact 1,86,539,Agency2 Sensemaking1 Sensemaking1 Impact1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,15
4149,B5.1. the value of 'Y' should be length of tweets instead of the age to show the correct plot 96,B5.1. the value of 'Y' should be length of tweets instead of the age to show the correct plot,Impact 1,96,540,Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,19
4151,"Providing data sets does not mean it is closely related to data science."" 60","Providing data sets does not mean it is closely related to data science."" ",Sensemaking 1,60,541,Agency2 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,13
4152,B.5.a : No answer 88,B.5.a : No answer,Sensemaking 2,88,542,Sensemaking2,Sensemaking2,1,Sensemaking,1,4
4154,Expand and quantify the value which the system brings and what are the challenges encountered. 50,Expand and quantify the value which the system brings and what are the challenges encountered.,Impact 1,50,543,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,15
4158,B5a: Not completed. 83,B5a: Not completed.,Sensemaking 1,83,544,Agency2 Sensemaking1 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,3
4162,"B3. sd should be reported and the comparision is missed/"" 84","B3. sd should be reported and the comparision is missed/"" ",Sensemaking 1,84,545,Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1,Impact1 Sensemaking1,2,Impact Sensemaking,2,10
4163,B.5.a : Only data entry is done here 91,B.5.a : Only data entry is done here,Sensemaking 1,91,546,Sensemaking1,Sensemaking1,1,Sensemaking,1,8
4164,"""Your focus area is a bit too wide Yixiao, you might have a hard time to complete your A4 because you want to cover everything, try to reduce scope to one to two type of IoT would be good."" 70","""Your focus area is a bit too wide Yixiao, you might have a hard time to complete your A4 because you want to cover everything, try to reduce scope to one to two type of IoT would be good."" ",Sensemaking 1&Impact 1,70,547,Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,39
4166,B5a: The total number of terms for each topic is incorrect. 94,B5a: The total number of terms for each topic is incorrect.,Sensemaking 1,94,548,Agency2 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,11
4168,"Seems that you haven't attend to my tutorial. I have discuss all of these during the tutorial."" 0","Seems that you haven't attend to my tutorial. I have discuss all of these during the tutorial."" ",Sensemaking 1,0,549,Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,17
4169,No novelty 80,No novelty,Sensemaking 2,80,550,Sensemaking2,Sensemaking2,1,Sensemaking,1,2
4184,"B5.e. 5+ is the answer/"" 69","B5.e. 5+ is the answer/"" ",Sensemaking 1,69,551,Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Agency1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1,Impact1 Sensemaking1 Agency1,3,Impact Sensemaking Agency,3,5
4186,"Best to use reference to support your ideas too."" 55","Best to use reference to support your ideas too."" ",Impact 3,55,552,Agency2 Impact1 Impact3,Agency2 Impact1 Impact3,3,Agency Impact,2,9
4190,"B2. bin should be set properly/"" 89","B2. bin should be set properly/"" ",Impact 1,89,553,Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1,Impact1 Sensemaking1,2,Impact Sensemaking,2,6
4200,"B5.e. 5+ has the maximum number of followers"""""" 59","B5.e. 5+ has the maximum number of followers"""""" ",Sensemaking 1,59,554,Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Agency1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking1,Impact1 Sensemaking1 Agency1 Sensemaking2,4,Impact Sensemaking Agency,3,8
4203,"B5a, incomplete code and answer."" 89","B5a, incomplete code and answer."" ",Sensemaking 2,89,555,Agency2 Sensemaking1 Sensemaking2,Agency2 Sensemaking1 Sensemaking2,3,Agency Sensemaking,2,5
4205,B5a: You need to remove NAs. 99,B5a: You need to remove NAs.,Impact 1,99,556,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,6
4213,"B5c, d incomplete answer, need clear explanation to know correct age group."" 96","B5c, d incomplete answer, need clear explanation to know correct age group."" ",Sensemaking 1,96,557,Agency2 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,12
4217,Bars to denote war is incorrect. 96,Bars to denote war is incorrect.,Sensemaking 1,96,558,Agency2 Sensemaking1 Impact1 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,6
4219,Explain about the data science job roles. 90,Explain about the data science job roles.,Impact 1,90,559,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,7
4223,B5.a WarTerrorism counts seem to be less than what should be in the plot. 97,B5.a WarTerrorism counts seem to be less than what should be in the plot.,Sensemaking 1,97,560,Sensemaking2 Impact1 Impact1 Sensemaking1,Sensemaking2 Impact1 Sensemaking1,3,Sensemaking Impact,2,14
4225,My feedback is as follows:A2-2d: Need to plot NIM over different yearsB-1: Verified: 218 93,My feedback is as follows:A2-2d: Need to plot NIM over different yearsB-1: Verified: 218,Impact 1,93,561,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,14
4227,A.9 : What about empty headlines? 97,A.9 : What about empty headlines?,Sensemaking 1,97,562,Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,6
4229,"The business model does not provide components, stages, benefits and stakeholders"" 70","The business model does not provide components, stages, benefits and stakeholders"" ",Sensemaking 1,70,563,Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,11
4232,B4a: Could be better if you created one plot to compare to each other versus yearrmd file is not submitted. 71,B4a: Could be better if you created one plot to compare to each other versus yearrmd file is not submitted.,Impact 1,71,564,Agency2 Impact1 Impact1,Agency2 Impact1,2,Agency Impact,2,20
4234,Task A2Q1b: Have the plot only for total Australia. No need to group by the states. 98,Task A2Q1b: Have the plot only for total Australia. No need to group by the states.,Impact 1,98,565,Agency2 Impact1,Agency2 Impact1,2,Agency Impact,2,16
4237,"Could be better if you justified your text"" 85","Could be better if you justified your text"" ",Sensemaking 1,85,566,Agency2 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,8
4242,"The report is too short."" 40","The report is too short."" ",Sensemaking 1,40,567,Agency2 Impact1 Impact1 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,5
4245,B5a: Remove the NA values. 98,B5a: Remove the NA values.,Impact 1,98,568,Agency2 Impact1 Impact1,Agency2 Impact1,2,Agency Impact,2,5
4260,"Make sure to add references for the following submissions"" 69","Make sure to add references for the following submissions"" ",Impact 3,69,569,Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Agency1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact3,Impact1 Sensemaking1 Agency1 Impact3,4,Impact Sensemaking Agency,3,9
4268,"B3. explanation is requried/"" 83","B3. explanation is requried/"" ",Sensemaking 1,83,570,Impact1 Sensemaking1 Impact1 Sensemaking1 Agency1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1,Impact1 Sensemaking1 Agency1,3,Impact Sensemaking Agency,3,4
4273,Q3 : The question did not ask for the plots and the measure were not explained 88,Q3 : The question did not ask for the plots and the measure were not explained,Sensemaking 1,88,571,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,16
4275,Could be better if justified your text and added reference. 90,Could be better if justified your text and added reference.,Impact 1,90,572,Sensemaking2 Impact1,Sensemaking2 Impact1,2,Sensemaking Impact,2,10
4280,Overall good work 91,Overall good work,Sensemaking 2,91,573,Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2,Impact1 Sensemaking1 Sensemaking2,3,Impact Sensemaking,2,3
4283,"Could be better if justified your text and added reference."" 85","Could be better if justified your text and added reference."" ",Impact 1,85,574,Agency2 Impact1 Impact1,Agency2 Impact1,2,Agency Impact,2,10
4292,Q5e : The code should produce the final result 83,Q5e : The code should produce the final result,Sensemaking 1,83,575,Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Impact1 Sensemaking1,2,Impact Sensemaking,2,9
4293,Having a graph that states the stages of your business model will improve the report. 90,Having a graph that states the stages of your business model will improve the report.,Sensemaking 1,90,576,Sensemaking1,Sensemaking1,1,Sensemaking,1,15
4303,"B3 Not much difference between the two groups as observed."" 85","B3 Not much difference between the two groups as observed."" ",Sensemaking 1,85,577,Agency2 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,10
4306,A2.1. b. Further explanation is required. You were supposed to search online for this 96,A2.1. b. Further explanation is required. You were supposed to search online for this,Sensemaking 1&Agency 1,96,578,Sensemaking1 Impact1 Sensemaking1 Agency1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,14
4313,B. You need to change the 5-6 to 5+ in parts c and d 89,B. You need to change the 5-6 to 5+ in parts c and d,Impact 1,89,579,Agency2 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,14
4335,"11. B5d, the Y axis value is counted wrongly, cannot be just 1200 records"" 71","11. B5d, the Y axis value is counted wrongly, cannot be just 1200 records"" ",Sensemaking 1,71,580,Agency2 Impact1 Impact1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,14
4343,B.5.a : Incorrect sums of values (e.g War total value) 88,B.5.a : Incorrect sums of values (e.g War total value),Sensemaking 1,88,581,Impact1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1,Impact1 Sensemaking1,2,Impact Sensemaking,2,10
4346,"A.8 In questions where the output is not a simple value, a screenshot is needed to demonstrate the outcome, The response here only shows the dates with no proof of theses dates being the top 10."" 95","A.8 In questions where the output is not a simple value, a screenshot is needed to demonstrate the outcome, The response here only shows the dates with no proof of theses dates being the top 10."" ",Sensemaking 1,95,582,Sensemaking1 Impact1 Sensemaking1,Sensemaking1 Impact1,2,Sensemaking Impact,2,36
4349,"B3a, missing answer but there is a graphical presentation there."" 98","B3a, missing answer but there is a graphical presentation there."" ",Sensemaking 1,98,583,Agency2 Impact1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,10
4353,B.5.a : incorrect calculations and plot 83,B.5.a : incorrect calculations and plot,Sensemaking 1,83,584,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1,Sensemaking1,1,Sensemaking,1,6
4358,"Need to explain more about benefits and challenges of your project"" 55","Need to explain more about benefits and challenges of your project"" ",Impact 1,55,585,Agency2 Sensemaking2 Impact1 Impact1 Impact1,Agency2 Sensemaking2 Impact1,3,Agency Sensemaking Impact,3,11
