,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
4860,"Use the linear model to impute delivery_cost . First, season needs to be calculated, and then season and storehouse attributes should be converted to dummy variables before fitting a model. Train/validation set should be used to verify the model has a reasonable score (~97%)outliers (would be better to follow the below steps):-Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) - Use the linear models (trained earlier) to predict all delivery_costs and calculate the residuals - Use 3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records. or other way around for step 2 and 3","Use the linear model to impute delivery_cost . First, season needs to be calculated, and then season and storehouse attributes should be converted to dummy variables before fitting a model. Train/validation set should be used to verify the model has a reasonable score (~97%)outliers (would be better to follow the below steps):-Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) - Use the linear models (trained earlier) to predict all delivery_costs and calculate the residuals - Use sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records. or other way around for step 2 and 3",Impact 1,79,720
4861,"Your Late Penalty marks: 0Your Final Mark (out of 100) is: 79"" 79","Your Late Penalty marks: 0Your Final Mark (out of 100) is: "" ",Sensemaking 2,79,720
4862,Task 1 Comments: - Only folder 2 was required as it contains train information,Task 1 Comments: - Only folder 2 was required as it contains train information,Sensemaking 1,55,721
4863,"according to your code, should use shortestdistance to get the id","according to your code, should use shortestdistance to get the id",Impact 1,55,721
4864,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Agency 1,55,721
4865,"Task 2 Comments: - should include data transformation such as boxcox transformation, or power transformation etc","Task 2 Comments: - should include data transformation such as boxcox transformation, or power transformation etc",Impact 1,55,721
4866,"Documentation comments: Well Done"" 55","Documentation comments: Well Done"" ",Agency 2,55,721
4867,"""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.","""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.",Impact 1,92,722
4868,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Agency 1,92,722
4869,"Your tutor comments are: For Outlier data, - Could have combined all the data (cleaned_dirty, missing, outlier) to detect the outlier and use the linear model for the further detection.","Your tutor comments are: For Outlier data, - Could have combined all the data (cleaned_dirty, missing, outlier) to detect the outlier and use the linear model for the further detection.",Impact 1,92,722
